,sofifa_id,short_name,short_name,long_name,value_eur,wage_eur,age,height_cm,weight_kg,club_team_id,club_name,nationality_id,nationality_name
193,184943,Ramires,Ramires,Ramires Santos do Nascimento,10000000.0,120000.0,27,180,70,5.0,Chelsea,54,Brazil
194,189242,Coutinho,Coutinho,Philippe Coutinho Correia,10500000.0,80000.0,22,171,71,9.0,Liverpool,54,Brazil
195,189332,Jordi Alba,Jordi Alba,Jordi Alba Ramos,11000000.0,110000.0,25,170,69,241.0,FC Barcelona,45,Spain
196,189461,J. Wilshere,J. Wilshere,Jack Wilshere,9500000.0,100000.0,22,172,68,1.0,Arsenal,14,England
197,189509,Thiago,Thiago,Thiago Alcântara do Nascimento,10500000.0,110000.0,23,172,70,21.0,FC Bayern München,45,Spain
198,189574,Iturraspe,Iturraspe,Ander Iturraspe Derteano,10500000.0,70000.0,25,187,75,448.0,Athletic Club de Bilbao,45,Spain
199,189712,K. Strootman,K. Strootman,Kevin Strootman,12000000.0,90000.0,24,186,78,52.0,Roma,34,Netherlands
202,192985,K. De Bruyne,K. De Bruyne,Kevin De Bruyne,12000000.0,90000.0,23,181,76,175.0,VfL Wolfsburg,7,Belgium
203,193130,A. Schürrle,A. Schürrle,André Schürrle,10500000.0,110000.0,23,183,72,5.0,Chelsea,21,Germany
204,201535,R. Varane,R. Varane,Raphaël Varane,8000000.0,100000.0,21,191,78,243.0,Real Madrid CF,18,France
205,201942,Roberto Firmino,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,10500000.0,60000.0,22,181,76,10029.0,TSG Hoffenheim,54,Brazil
206,207664,C. Bacca,C. Bacca,Carlos Arturo Bacca Ahumada,13000000.0,110000.0,27,181,77,481.0,Sevilla FC,56,Colombia
207,212218,A. Laporte,A. Laporte,Aymeric Laporte,8000000.0,50000.0,20,189,85,448.0,Athletic Club de Bilbao,18,France
209,4098,Tiago,Tiago,Tiago Cardoso Mendes,6500000.0,80000.0,33,183,71,240.0,Atlético de Madrid,38,Portugal
210,6826,G. Barry,G. Barry,Gareth Barry,4300000.0,40000.0,33,183,79,7.0,Everton,14,England
213,20775,Quaresma,Quaresma,Ricardo Andrade Quaresma Bernardo,10500000.0,100000.0,30,175,74,236.0,FC Porto,38,Portugal
214,28130,Ronaldinho,Ronaldinho,Ronaldo de Assis Moreira,6000000.0,50000.0,34,182,80,110150.0,Gallos Blancos de Querétaro,54,Brazil
215,45119,Mikel Arteta,Mikel Arteta,Mikel Arteta Amatriain,6000000.0,100000.0,32,175,64,1.0,Arsenal,45,Spain
216,50542,J. Defoe,J. Defoe,Jermain Colin Defoe,10000000.0,80000.0,31,170,70,111651.0,Toronto FC,14,England
217,52091,P. Evra,P. Evra,Patrice Evra,4900000.0,80000.0,33,173,76,45.0,Juventus,18,France
219,106213,Iraola,Iraola,Andoni Iraola Sagarna,6500000.0,60000.0,32,182,74,448.0,Athletic Club de Bilbao,45,Spain
220,106231,Aduriz,Aduriz,Aritz Aduriz Zubeldia,7500000.0,45000.0,33,182,78,448.0,Athletic Club de Bilbao,45,Spain
221,112316,J. Mathieu,J. Mathieu,Jérémy Mathieu,8000000.0,90000.0,30,192,82,241.0,FC Barcelona,18,France
222,113422,David Villa,David Villa,David Villa Sánchez,9000000.0,70000.0,32,175,69,112224.0,Melbourne City FC,45,Spain
223,115533,D. Benaglio,D. Benaglio,Diego Orlando Benaglio,10500000.0,80000.0,30,194,89,175.0,VfL Wolfsburg,47,Switzerland
224,138110,Bruno Alves,Bruno Alves,Bruno Eduardo Regufe Alves,6500000.0,100000.0,32,187,83,326.0,Fenerbahçe SK,38,Portugal
225,139968,V. Enyeama,V. Enyeama,Vincent Enyeama,10000000.0,80000.0,31,182,87,65.0,LOSC Lille,133,Nigeria
226,140233,G. Ochoa,G. Ochoa,Francisco Guillermo Ochoa Magaña,11000000.0,80000.0,28,185,78,573.0,Málaga CF,83,Mexico
227,144622,Raffael,Raffael,Raffael Caetano de Araújo,11500000.0,60000.0,29,174,69,23.0,Borussia Mönchengladbach,54,Brazil
228,147782,I. Denisov,I. Denisov,Igor Denisov,7500000.0,80000.0,30,176,70,312.0,Dinamo Moscow,40,Russia
229,150656,R. Mavuba,R. Mavuba,Rio Antonio Zoba Mavuba,7500000.0,80000.0,30,172,74,65.0,LOSC Lille,18,France
230,152554,G. Clichy,G. Clichy,Gaël Dimitri Clichy,9500000.0,110000.0,28,176,65,10.0,Manchester City,18,France
231,157481,Raúl Albiol,Raúl Albiol,Raúl Albiol Tortajada,9500000.0,90000.0,28,190,82,48.0,Napoli,45,Spain
232,157503,A. Song,A. Song,Alexandre Dimitri Song-Billong,10500000.0,80000.0,26,185,74,19.0,West Ham United,103,Cameroon
233,158626,M. Debuchy,M. Debuchy,Mathieu Debuchy,9500000.0,110000.0,28,178,76,1.0,Arsenal,18,France
234,159147,L. Perrin,L. Perrin,Loïc Perrin,9500000.0,90000.0,28,180,76,1819.0,AS Saint-Étienne,18,France
235,162240,M. Dembélé,M. Dembélé,Mousa Sidi Yaya Dembélé,12500000.0,100000.0,26,185,82,18.0,Tottenham Hotspur,7,Belgium
236,163419,B. Sagna,B. Sagna,Bacary Sagna,7500000.0,100000.0,31,176,72,10.0,Manchester City,18,France
237,167431,G. Castro,G. Castro,Gonzalo Castro Randon,12000000.0,90000.0,27,172,73,32.0,Bayer 04 Leverkusen,21,Germany
238,167905,A. Valencia,A. Valencia,Luis Antonio Valencia Mosquera,11000000.0,110000.0,28,181,78,11.0,Manchester United,57,Ecuador
239,171919,Naldo,Naldo,Ronaldo Aparecido Rodrigues,7500000.0,80000.0,31,198,89,175.0,VfL Wolfsburg,54,Brazil
240,172175,K. Mirallas,K. Mirallas,Kevin Mirallas,12500000.0,80000.0,26,178,70,7.0,Everton,7,Belgium
241,173909,K. Boateng,K. Boateng,Kevin-Prince Boateng,12000000.0,110000.0,27,186,86,34.0,FC Schalke 04,117,Ghana
242,177134,D. Ba,D. Ba,Demba Ba,11500000.0,100000.0,29,189,85,327.0,Beşiktaş JK,136,Senegal
243,177358,M. Schneiderlin,M. Schneiderlin,Morgan Schneiderlin,10000000.0,60000.0,24,181,75,17.0,Southampton,18,France
244,177413,A. Witsel,A. Witsel,Axel Witsel,12000000.0,90000.0,25,186,73,100769.0,Zenit St. Petersburg,7,Belgium
